what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432621432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432622010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432622245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432622526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432650932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432651588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432652026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432652838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432657885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432658323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432695791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432696010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432709432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432709635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432727182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432727322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432749869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432751494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432857212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432858493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432869477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432872071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432872071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432872181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432877634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443432879415
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443433857299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443433874315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443433875784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443433878112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443434264406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1443434265484
